,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high
753,LVA,976.0,1.1071655071854164e-07,9.792399013013194e-08
754,LVA,1016.0,3.4844548359470486e-08,3.081849269596391e-08
755,LVA,1049.0,2.5806239421268645e-09,2.282450020330094e-09
756,LVA,1052.0,5.037963662350008e-09,4.45586049010924e-09
757,LVA,1053.0,8.048597048396626e-09,7.118635224937594e-09
758,LVA,2511.0,3.099481433018153e-10,2.5442928093616576e-10
759,LVA,2731.0,1.657783804378858e-08,1.4662379187604281e-08
760,LVA,2735.0,4.485575881561441e-08,3.967297441108055e-08
761,LVA,2903.0,8.958190888039835e-09,8.061565520319728e-09
762,LVA,2905.0,3.011662625705963e-10,2.47220437624801e-10
763,LVA,2907.0,4.842756537867653e-10,3.504661895727108e-10
764,LVA,2913.0,3.7165038445225373e-10,3.3445189574090897e-10
765,LVA,2918.0,2.416238704509503e-09,1.8754397547139338e-09
766,LVA,2919.0,2.8368392487656597e-08,2.201902111301522e-08
768,MDA,960.0,2.2138191826018108e-09,2.073739865141259e-09
769,MDA,976.0,2.257169713663664e-08,1.9963687752947445e-08
770,MDA,1016.0,2.7219320638843032e-08,2.4074309290603515e-08
771,MDA,1049.0,2.3463187319447613e-09,2.0752172178231036e-09
772,MDA,1052.0,8.374580168394396e-09,7.4069531649211195e-09
773,MDA,1053.0,9.059943666465031e-09,8.013127472060026e-09
774,MDA,2511.0,2.6388806774054994e-10,2.1661962742420174e-10
775,MDA,2514.0,3.85588183323883e-10,3.1652044492180514e-10
776,MDA,2555.0,8.419723008646338e-10,7.576992893483445e-10
777,MDA,2731.0,6.575543585818805e-09,5.815783286411027e-09
778,MDA,2735.0,7.077089537761018e-08,6.259378941523608e-08
779,MDA,2903.0,1.6950338821984538e-09,1.5253779330320494e-09
780,MDA,2905.0,2.322227526299479e-10,1.906263007070857e-10
781,MDA,2907.0,1.1339222478510708e-09,8.206099281857982e-10
783,MDA,2913.0,8.362647466290307e-11,7.525630042427746e-11
784,MDA,2918.0,4.915511340325041e-09,3.815328909841365e-09
785,MDA,2919.0,4.679989328112378e-10,3.632521083781185e-10
787,MKD,960.0,5.480858114637248e-09,5.1340570435153505e-09
788,MKD,976.0,9.257501893231005e-09,8.187859160523996e-09
789,MKD,1016.0,1.028932647931819e-08,9.100463282746778e-09
790,MKD,1049.0,3.958873623837428e-09,3.501452123925076e-09
791,MKD,1052.0,2.889701451675654e-09,2.555815680640832e-09
792,MKD,1053.0,1.0223415849685429e-08,9.042168187715893e-09
793,MKD,2511.0,3.4721818716017477e-10,2.850234001921343e-10
794,MKD,2514.0,7.213949485464888e-10,5.921764720846788e-10
795,MKD,2555.0,1.0591845681055595e-09,9.531707797491344e-10
796,MKD,2731.0,2.7120786849839366e-08,2.3987160425151515e-08
797,MKD,2805.0,2.568256770438113e-09,2.1082227381685413e-09
798,MKD,2903.0,1.8098914065066357e-09,1.6287393671971047e-09
799,MKD,2905.0,1.751350298571392e-10,1.437643059855196e-10
800,MKD,2907.0,6.153844740798459e-10,4.453485325279929e-10
802,MKD,2913.0,9.111369272676944e-10,8.199412279724849e-10
803,MKD,2918.0,1.0495524474408046e-09,8.146431811203734e-10
804,MKD,2919.0,4.96274775941753e-10,3.851992943933298e-10
806,MLT,960.0,1.948988431612271e-09,1.8256662689964888e-09
807,MLT,976.0,3.5123924367289993e-09,3.1065588665399054e-09
808,MLT,1016.0,3.6246280683986056e-09,3.2058264179270813e-09
809,MLT,1049.0,1.1323993383688469e-09,1.0015581312291405e-09
810,MLT,1052.0,5.711729667544678e-10,5.051777317489702e-10
811,MLT,1053.0,3.763529787650729e-10,3.3286789679462835e-10
812,MLT,2511.0,2.63453853557142e-09,2.1626319101751808e-09
813,MLT,2731.0,9.785936951992205e-09,8.655237065116551e-09
814,MLT,2735.0,1.0425327043209987e-09,9.220749886599609e-10
815,MLT,2903.0,4.273564727573271e-08,3.845823614079929e-08
816,MLT,2905.0,6.4774566807180525e-09,5.3171947668853964e-09
817,MLT,2907.0,2.113715305966434e-09,1.5296778669979416e-09
818,MLT,2913.0,3.198222999810302e-07,2.878112844858772e-07
819,MLT,2918.0,1.9321159861971743e-09,1.499672662502145e-09
820,MLT,2919.0,6.601700852580758e-09,5.124117995689581e-09
822,NLD,960.0,1.6429246724082738e-09,1.538968681531197e-09
823,NLD,976.0,2.657138468193579e-08,2.350123802133648e-08
824,NLD,1016.0,7.0870133973826535e-09,6.2681561652118014e-09
825,NLD,1049.0,1.1788503572668084e-09,1.042642044036919e-09
826,NLD,1052.0,1.1753587970997422e-09,1.0395539104099263e-09
827,NLD,1053.0,5.147894466363159e-10,4.5530895213364433e-10
828,NLD,2511.0,1.3194193314482033e-09,1.083080892750348e-09
829,NLD,2514.0,6.796799895583781e-09,5.579336245342367e-09
830,NLD,2731.0,8.921518776981738e-09,7.89069665730329e-09
831,NLD,2735.0,2.0284616668644943e-07,1.7940864211923504e-07
832,NLD,2903.0,1.8320712733232e-07,1.648699251040663e-07
833,NLD,2905.0,4.162186894672098e-09,3.416643208287134e-09
834,NLD,2907.0,2.2261732854132337e-10,1.611062754376815e-10
836,NLD,2913.0,3.41592153518201e-08,3.0740219328108684e-08
837,NLD,2918.0,3.867458861573151e-10,3.0018499766509535e-10
838,NLD,2919.0,4.958136445800738e-09,3.848413727665367e-09
840,NOR,960.0,1.591411198140532e-09,1.4907147202228497e-09
841,NOR,976.0,3.364735539286515e-08,2.975962740902275e-08
842,NOR,1016.0,4.042811639137257e-09,3.5756916601860876e-09
843,NOR,1049.0,1.0378981285565639e-09,9.179759072808128e-10
844,NOR,1052.0,1.454807317148424e-09,1.286714013768749e-09
845,NOR,1053.0,9.46225489291162e-10,8.368954313775385e-10
846,NOR,2511.0,5.359659037633501e-10,4.399620467092913e-10
847,NOR,2731.0,1.1116466052834682e-08,9.832032383370017e-09
848,NOR,2735.0,5.620216996217718e-09,4.9708383262942106e-09
849,NOR,2903.0,3.603849335238993e-08,3.243140038484592e-08
850,NOR,2905.0,1.3212398679322456e-10,1.084575329153866e-10
851,NOR,2907.0,1.0417102087972995e-09,7.538768564172655e-10
852,NOR,2913.0,8.17359762811915e-09,7.355502203439922e-09
853,NOR,2918.0,1.4333412503141807e-08,1.1125329454799393e-08
854,NOR,2919.0,4.058471137060761e-08,3.150110168998363e-08
856,POL,960.0,1.712596669887318e-09,1.6042321862436785e-09
857,POL,976.0,1.8320526366325285e-07,1.6203711472510822e-07
858,POL,1016.0,8.175733639035279e-08,7.231082028654656e-08
859,POL,1049.0,8.613595956381771e-10,7.618352269318089e-10
860,POL,1052.0,4.803666932216832e-09,4.24863518783796e-09
861,POL,1053.0,1.7388870273223495e-09,1.5379702040556052e-09
862,POL,2511.0,6.563582880874758e-10,5.387893777830259e-10
863,POL,2514.0,1.0795259840451047e-09,8.861579777396721e-10
864,POL,2731.0,1.270456586964093e-08,1.1236637835556993e-08
865,POL,2735.0,1.4842799812409182e-08,1.3127813076735147e-08
866,POL,2903.0,6.724705616161698e-09,6.0516297997096774e-09
867,POL,2905.0,2.1460273720923912e-10,1.7616243650768101e-10
868,POL,2907.0,4.5454063367196504e-10,3.2894720732568973e-10
870,POL,2913.0,4.938948443239692e-10,4.4446090705452756e-10
871,POL,2918.0,1.2440906774885754e-09,9.656401541273668e-10
872,POL,2919.0,1.4391873672797811e-09,1.1170705932493972e-09
874,PRT,960.0,1.4926866370178318e-09,1.3982369516328655e-09
875,PRT,976.0,1.0740164586289744e-08,9.499210046901315e-09
876,PRT,1016.0,1.2445173104818442e-08,1.1007216178384187e-08
877,PRT,1049.0,1.0055796271504655e-09,8.893915936242509e-10
878,PRT,1052.0,1.2596233275710056e-09,1.1140822351873559e-09
879,PRT,1053.0,3.136745210115105e-10,2.774315176932349e-10
880,PRT,2511.0,8.028841584064087e-09,6.590690846612494e-09
881,PRT,2514.0,6.989433240728595e-10,5.737464514695469e-10
882,PRT,2731.0,2.018957117401359e-08,1.7856800591644597e-08
883,PRT,2735.0,1.8730246365094552e-08,1.6566091052214258e-08
