,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low,ProteinI-BaU_low,ProteinI-HalfW_low,IronI-BaU_low,IronI-HalfW_low,ZincI-BaU_low,ZincI-HalfW_low,Vitamin AI-BaU_low,Vitamin AI-HalfW_low,Vitamin BI-BaU_low,Vitamin BI-HalfW_low,FolateI-BaU_low,FolateI-HalfW_low
1568,NER,1052.0,2.4022695258532187e-09,2.0320999456522465e-09,2.735067919746883e-08,2.3136168990441746e-08,1.9629973839829157e-07,1.6605159555901212e-07,2.6629810260114473e-07,2.252637990863591e-07,2.1470283887313136e-09,1.816189326426695e-09,3.859826378859956e-07,3.265059515718835e-07,7.309032812702344e-09,6.1827721750696e-09
1569,NER,1053.0,2.209911830108718e-09,1.869382957045667e-09,1.812026273097949e-08,1.532808226327129e-08,3.8538706641713385e-07,3.2600215266985304e-07,2.149778133027089e-07,1.8185153581953486e-07,inf,inf,5.643167685001976e-07,4.773602887846692e-07,3.1601739170554663e-07,2.6732176285753036e-07
1570,NER,2731.0,2.0635724645607012e-08,1.7455932600210212e-08,3.49139766516036e-07,2.953402575884091e-07,2.7857706340006836e-06,2.3565067503996237e-06,1.6745401715375004e-06,1.4165075795836305e-06,inf,inf,2.24713769444239e-06,1.9008726279902482e-06,8.748096507820964e-07,7.400088227731105e-07
1571,NER,2735.0,1.807371389931838e-08,1.528870621604981e-08,2.1318332002820014e-07,1.8033355890380662e-07,1.331488836442015e-06,1.1263175772124888e-06,1.6321879337092967e-06,1.380681466292543e-06,5.166019811500408e-08,4.3699794986409196e-08,1.5998449385300417e-06,1.3533222553302962e-06,8.409154902623491e-07,7.113374680359089e-07
1572,NGA,960.0,1.0642961935508553e-08,9.210172536605177e-09,2.0610179632083263e-07,1.7835571673764737e-07,2.1640689752574507e-05,1.872735124301945e-05,1.754650458646477e-06,1.5184338310607004e-06,1.4113493001435256e-08,1.2213489668106867e-08,1.4427126561433264e-06,1.2484900880357279e-06,1.2984413561320436e-07,1.1236410494658317e-07
1573,NGA,976.0,1.4665326700479096e-08,1.240552289003932e-08,2.0043600952435888e-07,1.6955050200561453e-07,1.274988870677887e-06,1.078523782168671e-06,9.78813526516976e-07,8.279865737931205e-07,2.3126096659251196e-09,1.9562559179416728e-09,1.7223645675968706e-07,1.4569626374308886e-07,5.712685150193687e-08,4.832408294866034e-08
1574,NGA,1016.0,2.2451061666986026e-08,1.899154141628367e-08,1.5079815642610044e-07,1.275614256352438e-07,9.220120657412964e-07,7.799377415896522e-07,7.575845971157357e-07,6.408471664223784e-07,inf,inf,2.2357048043410245e-06,1.8912014503377819e-06,5.969438153532219e-07,5.049597814407964e-07
1575,NGA,1049.0,1.267685955467126e-09,1.072346184924407e-09,2.5640488177561895e-08,2.168950405913121e-08,9.067683069694267e-08,7.670429181576935e-08,1.5794119730513875e-07,1.3360378384104505e-07,1.2845884348733544e-07,1.0866441340567324e-07,6.644423130191097e-07,5.620573268920057e-07,1.2845884348733544e-07,1.0866441340567324e-07
1576,NGA,1052.0,7.073520218187561e-10,5.98355009554714e-10,8.053450297828016e-09,6.812481170994685e-09,5.78007652114755e-08,4.889415220932806e-08,7.841189310950268e-08,6.632927821440717e-08,6.321958695005132e-10,5.347797897895256e-10,1.136531918493304e-07,9.614018847373094e-08,2.1521561514911086e-09,1.8205269439643426e-09
1577,NGA,1053.0,4.641987241321302e-10,3.9266959511785463e-10,3.806216486132781e-09,3.2197104577031145e-09,8.095172942671525e-08,6.847774706298076e-08,4.515674575438759e-08,3.819847007414028e-08,inf,inf,1.1853645940764588e-07,1.002709854692653e-07,6.638041755089462e-08,5.6151752101853216e-08
1578,NGA,2731.0,1.4828066568629893e-08,1.2543185909806944e-08,2.530664613115253e-07,2.1407104271320572e-07,1.6875079808967498e-06,1.4274771583134776e-06,1.1966567985670273e-06,1.0122620252066706e-06,inf,inf,1.6130083257277024e-06,1.3644572749944472e-06,6.443033939670482e-07,5.45021646311304e-07
1579,NGA,2735.0,3.577397967984048e-09,3.026150953538351e-09,2.3170038319563866e-08,1.9599729798521815e-08,1.4772340375944136e-07,1.2496046655901652e-07,2.0096380848085308e-07,1.699969715708588e-07,inf,inf,1.275720872900577e-07,1.0791429889899444e-07,8.483543752647884e-08,7.17630083267666e-08
1580,SEN,960.0,1.1747590573987518e-08,1.01660925531302e-08,2.2749301692629005e-07,1.9686718316388077e-07,2.3886768034352165e-05,2.0671055320065503e-05,1.9367649075081724e-06,1.6760314533756792e-06,1.5578326630722577e-08,1.3481122733498743e-08,1.5924512088816362e-06,1.378070360375158e-06,1.433206050026477e-07,1.2402632914818844e-07
1581,SEN,976.0,1.0161427690450195e-08,8.595636932196071e-09,1.3614066335801576e-07,1.1516252928056681e-07,8.301692044501127e-07,7.022470947118527e-07,7.079650041508114e-07,5.988735364519875e-07,1.2291137490458297e-09,1.0397176319128277e-09,9.500258791806033e-08,8.036348613986e-08,3.261988350617578e-08,2.7593433120931423e-08
1582,SEN,1016.0,1.793831515503646e-08,1.517417128234001e-08,1.6850542379592627e-07,1.4254015165770904e-07,9.946160910000167e-07,8.413540956642344e-07,8.854960030674755e-07,7.490484978239886e-07,9.288834592167612e-08,7.857503109777969e-08,2.3080098415428484e-06,1.9523648879066886e-06,6.372041542774034e-07,5.390163398990787e-07
1583,SEN,1049.0,1.3662320953668954e-09,1.1557071914140657e-09,2.763370355093354e-08,2.3375581665457733e-08,9.772577811565556e-08,8.266705557408847e-08,1.7021907674242725e-07,1.4398974506176917e-07,1.3844485233051206e-07,1.1711166206329201e-07,7.160940843838717e-07,6.057499936196892e-07,1.3844485233051206e-07,1.1711166206329201e-07
1584,SEN,1052.0,8.229892040464526e-10,6.961734721341036e-10,9.370020083346004e-09,7.926178597867828e-09,6.72499749592244e-08,5.688731800867246e-08,9.123058888280116e-08,7.717272051091664e-08,7.35546601116517e-10,6.222050407198551e-10,1.3223309895533974e-07,1.1185708777000595e-07,2.503988429332824e-09,2.118144819471847e-09
1585,SEN,1053.0,1.540283334539059e-09,1.3029385948249046e-09,1.2629616404480653e-08,1.0683498472153534e-08,2.686103887321179e-07,2.272197813233706e-07,1.4983708336885178e-07,1.267484458732376e-07,inf,inf,3.933223498238069e-07,3.327146754762639e-07,2.2026051683908546e-07,1.8632021905996137e-07
1586,SEN,2731.0,1.2810380322857694e-08,1.0836408187219502e-08,2.200711583276799e-07,1.8616003910654862e-07,1.3042428720200919e-06,1.1032699873291813e-06,1.029583731701152e-06,8.709335162927865e-07,inf,inf,1.3924218428159164e-06,1.1778613184989103e-06,5.672617198259776e-07,4.798514478176843e-07
1587,SEN,2735.0,3.651677337797389e-08,3.088984495626915e-08,2.3155443021061359e-07,1.958738351307194e-07,1.306915749366968e-06,1.105530996700889e-06,1.714527439942371e-06,1.4503331453987147e-06,1.7149231382907546e-06,1.4506678699513058e-06,1.6585014576440557e-06,1.4029402969450908e-06,4.6389584569511056e-05,3.924133877069946e-05
1588,TGO,960.0,1.846688340767975e-09,1.5980812806503263e-09,3.576126519885284e-08,3.0946969894710115e-08,3.7549330434908433e-06,3.2494320099527957e-06,3.0445401982458533e-07,2.634674509820519e-07,2.448869321453184e-09,2.119194741731955e-09,2.5032887060222033e-07,2.1662880156019212e-07,2.2529597757369293e-08,1.9496591623933983e-08
1589,TGO,976.0,2.344083006993474e-08,1.9828794811955846e-08,3.1214921200233485e-07,2.640496371946625e-07,1.8615591906111632e-06,1.5747085368057583e-06,1.515300476163256e-06,1.2818053853322371e-06,3.0962958129585396e-09,2.619182604417209e-09,2.3460748936921944e-07,1.984564434864877e-07,7.989204206740582e-08,6.758134863554108e-08
1590,TGO,1016.0,4.017163619173225e-08,3.3981524072735864e-08,3.050142390770729e-07,2.580141037386464e-07,1.697929889325159e-06,1.4362931380872048e-06,1.5096122512712496e-06,1.2769936681749802e-06,inf,inf,4.056553353008874e-06,3.431472513583577e-06,1.179026302594507e-06,9.973482407532563e-07
1591,TGO,1049.0,2.0505047881656992e-09,1.734539202927801e-09,4.14739498787167e-08,3.508316214625859e-08,1.466714013182053e-07,1.240705688682474e-07,2.554727217147976e-07,2.161065185755481e-07,2.0778448520079084e-07,1.7576663923001717e-07,1.0747473681709558e-06,9.091378152809066e-07,2.0778448520079084e-07,1.7576663923001717e-07
1592,TGO,1052.0,1.3724407373320398e-09,1.1609591337395063e-09,1.5625718063827185e-08,1.3217926001455966e-08,1.1214801453627526e-07,9.486694635699967e-08,1.5213878390861684e-07,1.2869547366983884e-07,1.2266189089905108e-09,1.037607225779684e-09,2.205157624640281e-07,1.8653613347547215e-07,4.175723945499611e-09,3.5322799175478597e-09
1593,TGO,1053.0,1.7765211867833669e-09,1.5027741759452861e-09,1.4566658367579506e-08,1.2322058519465982e-08,3.0980796576334236e-07,2.620691573593178e-07,1.7281804405827045e-07,1.4618823331816123e-07,inf,inf,4.53647372550789e-07,3.837441182951047e-07,2.5404252971002143e-07,2.1489670716017593e-07
1594,TGO,2731.0,1.241858453460314e-08,1.050498484298169e-08,2.1211042357985134e-07,1.7942598679713152e-07,1.3936701360475893e-06,1.178917260216083e-06,1.0017131020264208e-06,8.473575168315271e-07,inf,inf,1.350775354098761e-06,1.1426322043017098e-06,5.408190616645624e-07,4.574833814394424e-07
1595,TGO,2735.0,2.6893912590449603e-10,2.2749786285541116e-10,1.7418609583290765e-09,1.4734547979153622e-09,1.1105446874586657e-08,9.394190679863935e-09,1.5107916836475428e-08,1.2779913599168817e-08,inf,inf,9.590525279169382e-09,8.112705792933325e-09,6.3776992714494775e-09,5.394949319142607e-09
1596,CAN,960.0,9.382296636322145e-10,8.379977407802712e-10,1.8168891348839548e-08,1.622789226666163e-08,1.907733692026674e-06,1.7039287776723277e-06,1.5468110471348136e-07,1.3815638251031236e-07,1.2441741191644587e-09,1.111257873643403e-09,1.2718224666154586e-07,1.1359525231501664e-07,1.1446401896313019e-08,1.0223572437519308e-08
1597,CAN,976.0,3.493954827851714e-08,3.068249777715626e-08,5.325995737355976e-07,4.6770739870453737e-07,4.835254653247272e-06,4.246125020496124e-06,2.6726570537243307e-06,2.34701929905655e-06,2.3016279405498927e-08,2.021196542291416e-08,1.2849619755306058e-06,1.1284016222439097e-06,3.099381006044884e-07,2.7217510103587545e-07
1598,CAN,1049.0,8.435405407100122e-10,7.407631764143286e-10,1.7061631998123153e-08,1.4982834972109415e-08,6.03379586766691e-08,5.2986354265871965e-08,1.0509685178776787e-07,9.229180342171169e-08,8.54787747919479e-08,7.506400187665195e-08,4.4213160647363965e-07,3.8826208984444597e-07,8.54787747919479e-08,7.506400187665195e-08
