,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW
1710,TTO,1053.0,8.822378872389008e-10,7.851962058575643e-10
1711,TTO,2731.0,1.7691331848822522e-08,1.5745375306582077e-08
1712,TTO,2735.0,2.10041962972669e-07,1.8693841511745793e-07
1713,VCT,960.0,2.0334370369049495e-09,1.7997205004429157e-09
1714,VCT,976.0,9.348051991789598e-09,8.319813807911003e-09
1715,VCT,1016.0,3.381662800142794e-08,3.0096970880176776e-08
1716,VCT,1049.0,5.622756683274607e-10,5.004282040057023e-10
1717,VCT,1052.0,2.297742181349554e-10,2.0450022255119953e-10
1718,VCT,1053.0,6.28192604923495e-10,5.590946127664318e-10
1719,VCT,2731.0,9.345904604947232e-09,8.31790262270175e-09
1720,ARG,960.0,1.0946647782711675e-09,9.68847624397582e-10
1721,ARG,976.0,3.184153714331371e-08,2.8339129973039102e-08
1722,ARG,1016.0,1.7980650295461398e-07,1.6002870195286546e-07
1723,ARG,1049.0,6.260858739259597e-09,5.572196114658138e-09
1724,ARG,1052.0,7.311001250624486e-09,6.506828289789563e-09
1725,ARG,1053.0,2.109673597482842e-09,1.8776202295343506e-09
1726,ARG,2731.0,1.1048481759503355e-08,9.833204947929628e-09
1727,ARG,2735.0,2.0348499485195006e-08,1.811026801475729e-08
1728,BOL,960.0,2.2865937373315217e-09,2.023780205913641e-09
1729,BOL,976.0,1.942918782489915e-08,1.7292075962357417e-08
1730,BOL,1016.0,2.0069382844039095e-08,1.7861852784809246e-08
1731,BOL,1049.0,1.8335800441642457e-09,1.6318955631340389e-09
1732,BOL,1052.0,2.30838466017121e-09,2.0544740857806994e-09
1733,BOL,1053.0,1.28644600728668e-09,1.1449434881145448e-09
1734,BOL,2731.0,2.812203004441614e-08,2.50287497411779e-08
1735,BOL,2735.0,1.5131607057964581e-07,1.3467207226415567e-07
1736,BRA,960.0,2.890481485984948e-09,2.5582590914129085e-09
1737,BRA,976.0,2.6088996481440023e-08,2.321933953207218e-08
1738,BRA,1016.0,1.5495201092029434e-08,1.3790807765623491e-08
1739,BRA,1049.0,1.123117788322102e-09,9.995805427055445e-10
1740,BRA,1052.0,2.2965860007907733e-09,2.043973218935456e-09
1741,BRA,1053.0,4.786744118219861e-10,4.260226606000968e-10
1742,BRA,2731.0,1.5079972551594143e-08,1.3421252253182347e-08
1743,BRA,2735.0,2.88067849534967e-08,2.5638185092265705e-08
1744,CHL,960.0,1.1055409809788298e-09,9.784737522907508e-10
1745,CHL,976.0,2.130947785843369e-08,1.896554365355318e-08
1746,CHL,1016.0,6.8560077328690675e-09,6.101881745327003e-09
1747,CHL,1049.0,3.1233672363385416e-10,2.77981272278862e-10
1748,CHL,1052.0,5.024736094878796e-10,4.4720406754261396e-10
1749,CHL,1053.0,2.4470500393470144e-10,2.1778869783661646e-10
1750,CHL,2731.0,6.252543030386076e-09,5.564795091474993e-09
1751,CHL,2735.0,4.907011430822035e-08,4.367265125780997e-08
1752,COL,960.0,3.169780451902419e-09,2.8054563567284195e-09
1753,COL,976.0,1.4715439149351361e-08,1.3096815671519342e-08
1754,COL,1016.0,2.6298463097692797e-08,2.3405765885683268e-08
1755,COL,1049.0,1.6472597350527778e-09,1.4660695405786086e-09
1756,COL,1052.0,3.854607524881094e-10,3.430620297977606e-10
1757,COL,1053.0,2.557591538817966e-10,2.2762694750032575e-10
1758,COL,2731.0,1.2791384842487673e-08,1.1384397554517552e-08
1759,COL,2735.0,6.660854949173519e-08,5.928194775478255e-08
1760,ECU,960.0,1.7143978487059362e-09,1.5173506227306562e-09
1761,ECU,976.0,5.495782091445668e-09,4.8912740076583874e-09
1762,ECU,1016.0,1.2819719975986912e-08,1.1409615967417165e-08
1763,ECU,1049.0,4.743937423160672e-10,4.2221284297245323e-10
1764,ECU,1052.0,8.034795123244963e-10,7.151008516942576e-10
1765,ECU,1053.0,9.706539680894645e-10,8.638869674138731e-10
1766,ECU,2731.0,1.0099695579762945e-08,8.988780423344989e-09
1767,ECU,2735.0,1.8042833106615623e-07,1.605821321341589e-07
1768,GUY,960.0,4.425039309328707e-09,3.9164399072745395e-09
1769,GUY,976.0,2.0184513985531055e-08,1.796432008618355e-08
1770,GUY,1016.0,4.031121817201137e-08,3.58771891572468e-08
1771,GUY,1049.0,1.2175895555889403e-08,1.0836608959657454e-08
1772,GUY,1052.0,7.394302791621355e-09,6.580967084868442e-09
1773,GUY,1053.0,1.845966863844566e-09,1.6429198956369973e-09
1774,GUY,2731.0,2.1763632440682643e-08,1.9369743541148966e-08
1775,PER,960.0,2.1790899247401563e-09,1.9286325264502335e-09
1776,PER,976.0,2.497325435978751e-08,2.2226323370208128e-08
1777,PER,1016.0,1.361834853147731e-08,1.2120399442861765e-08
1778,PER,1049.0,1.7949781430316295e-09,1.597539674833799e-09
1779,PER,1052.0,7.842627708180157e-10,6.979978540355908e-10
1780,PER,1053.0,3.481236674762815e-10,3.0983183427666313e-10
1781,PER,2731.0,1.5848775482085122e-08,1.410549077071297e-08
1782,PER,2735.0,9.161593312726187e-08,8.153864635394727e-08
1783,PRY,960.0,2.1961545903396942e-09,1.9437358357513355e-09
1784,PRY,976.0,3.395929287571835e-08,3.0223943343751836e-08
1785,PRY,1016.0,9.547056123143226e-08,8.496928496759699e-08
1786,PRY,1049.0,1.1104096406544441e-09,9.8827022665989e-10
1787,PRY,1052.0,2.5530215949850906e-09,2.2722022017536514e-09
1788,PRY,1053.0,5.250689851979934e-09,4.673140668230045e-09
1789,PRY,2731.0,2.918368959557053e-08,2.5973632140286586e-08
1790,PRY,2735.0,1.185550699924111e-07,1.0551461515051849e-07
1791,SUR,960.0,1.1313132758108168e-09,1.0012838646821255e-09
1792,SUR,976.0,4.949425858255039e-08,4.40501418187543e-08
1793,SUR,1016.0,1.006730248790587e-07,8.959950406872027e-08
1794,SUR,1049.0,1.8492768644634574e-09,1.645865813019296e-09
1795,SUR,1052.0,1.4898728188089634e-09,1.3259943848028499e-09
1796,SUR,1053.0,1.0241558200967471e-09,9.115038877594121e-10
1797,SUR,2731.0,1.4082220743201694e-08,1.2533248070105218e-08
1798,URY,960.0,1.5535691038161985e-09,1.375007002551924e-09
1799,URY,976.0,1.5699996281981146e-08,1.3973076526072248e-08
1800,URY,1049.0,4.714133761144067e-09,4.195603018976941e-09
1801,URY,1052.0,4.2166563483291434e-09,3.752845591879117e-09
1802,URY,1053.0,3.2067095825730633e-09,2.8539878347365086e-09
1803,URY,2731.0,1.4458264291244582e-08,1.2867928740059868e-08
1804,URY,2735.0,2.8526666545191182e-08,2.538887828446048e-08
1805,VEN,960.0,3.972196972162414e-09,3.515645772577781e-09
1806,VEN,976.0,1.8380964131301677e-08,1.635915154479626e-08
1807,VEN,1016.0,3.2197561460870194e-08,2.8655993426062274e-08
1808,VEN,1049.0,1.257688165421118e-09,1.1193488626194185e-09
1809,VEN,1052.0,3.6712229776271517e-10,3.2674071184038397e-10
1810,VEN,1053.0,2.288826714423383e-10,2.0370674146121974e-10
1811,VEN,2731.0,2.0211373821408594e-08,1.7988225476697898e-08
1812,VEN,2735.0,7.647194602572764e-07,6.806042082580169e-07
1813,KAZ,960.0,1.910493584894201e-09,1.708699300624345e-09
1814,KAZ,976.0,1.0832681223199411e-08,9.490027794041912e-09
1815,KAZ,1016.0,5.0583483746813394e-08,4.431392900666822e-08
1816,KAZ,1049.0,3.785470010375547e-09,3.3162810639198263e-09
1817,KAZ,1052.0,5.188298959296888e-09,4.545236799000361e-09
1818,KAZ,1053.0,9.526749379022919e-09,8.345959281085249e-09
1819,KAZ,2731.0,6.285202547059289e-09,5.506185000167404e-09
1820,KAZ,2735.0,1.5599043483028923e-08,1.3665624711394478e-08
1821,KGZ,960.0,2.086884043217484e-09,1.8664586645692866e-09
1822,KGZ,976.0,6.2255691002733945e-09,5.453942803079515e-09
1823,KGZ,1016.0,1.7764914957077208e-08,1.55630478944031e-08
