,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high,ProteinI-BaU_high,ProteinI-HalfW_high,IronI-BaU_high,IronI-HalfW_high,ZincI-BaU_high,ZincI-HalfW_high,Vitamin AI-BaU_high,Vitamin AI-HalfW_high,Vitamin BI-BaU_high,Vitamin BI-HalfW_high,FolateI-BaU_high,FolateI-HalfW_high
326,PHL,2903.0,2.212779084489483e-09,1.889174678023421e-09,4.695430134952048e-08,4.0087543196505044e-08,1.5192044825231358e-07,1.2970308058495318e-07,2.083220129130694e-07,1.778562868877792e-07,2.9795544288685866e-06,2.543814164851315e-06,inf,inf,7.61648842587543e-09,6.502627022499192e-09
327,PHL,2905.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
328,PHL,2907.0,5.928750133206846e-11,4.529939126671463e-11,6.030515699462094e-09,4.607694439337707e-09,2.405445456335685e-08,1.837912080102322e-08,2.6114347935566184e-08,1.995300928913447e-08,8.543817152915808e-11,6.52801530551023e-11,inf,inf,3.5549906621381986e-10,2.7162371382753765e-10
329,PHL,2908.0,2.779216359972946e-10,2.3727742226109553e-10,8.800852003295367e-07,7.513785206214213e-07,1.4874679559258017e-07,1.269935537805667e-07,3.520340801318147e-06,3.005514082485685e-06,inf,inf,inf,inf,1.0561022167897193e-07,9.016542045921631e-08
330,PHL,2913.0,2.53644712091805e-11,2.1655083901379697e-11,2.735564837862917e-09,2.3355064488844734e-09,3.812422261441057e-09,3.2548805476028364e-09,8.390557914597807e-09,7.163493932971743e-09,inf,inf,inf,inf,3.485851252098945e-10,2.97606840329517e-10
331,PHL,2918.0,1.330766600875693e-09,9.246627212584355e-10,2.724077649467492e-08,1.892783490822806e-08,7.240930547887252e-08,5.031249311822924e-08,1.24249287633835e-07,8.633270803634761e-08,1.7636049328137684e-09,1.2254137843009385e-09,inf,inf,8.699103699329704e-10,6.044438516745502e-10
332,PHL,2919.0,3.554999047082507e-10,2.4701364542688213e-10,2.834377747584858e-08,1.969423818896235e-08,8.789533608355426e-08,6.107272349295743e-08,2.2118853369618677e-07,1.5368945339031987e-07,1.7893456906314853e-09,1.2432993542839256e-09,inf,inf,1.5005093108040246e-09,1.0426058346284513e-09
333,PHL,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,SGP,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,SGP,1016.0,3.0949386585085056e-08,2.7651952509986675e-08,1.9357388516084072e-07,1.7294998286721204e-07,1.248331339053736e-06,1.1153306321385084e-06,9.802697086901823e-07,8.758290364547108e-07,inf,inf,3.0548644352392186e-06,2.729390647386558e-06,7.761354114369974e-07,6.934437772901612e-07
336,SGP,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
