,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low,ProteinI-BaU_low,ProteinI-HalfW_low,IronI-BaU_low,IronI-HalfW_low,ZincI-BaU_low,ZincI-HalfW_low,Vitamin AI-BaU_low,Vitamin AI-HalfW_low,Vitamin BI-BaU_low,Vitamin BI-HalfW_low,FolateI-BaU_low,FolateI-HalfW_low
655,HRV,2731.0,4.6446087804144895e-09,4.107955146903474e-09,8.022962141330582e-08,7.095962260776133e-08,4.347820727427355e-07,3.8454589782381866e-07,3.720232301941991e-07,3.290384218555288e-07,inf,inf,5.045134750483373e-07,4.462203006734231e-07,2.0898773411414548e-07,1.8484059230437148e-07
656,HRV,2735.0,4.213452332265133e-09,3.726615956880733e-09,2.6675268361798472e-08,2.3593118633363635e-08,1.479485221458523e-07,1.3085405504736159e-07,1.5817678337932246e-07,1.3990050876701315e-07,4.049998231004343e-09,3.5820478891915488e-09,1.7800250654392807e-07,1.574355015652348e-07,1.323141783225474e-07,1.1702615560226079e-07
657,HRV,2903.0,2.3924098953815913e-09,2.152953577806613e-09,6.466721383137062e-08,5.8194672097704265e-08,2.439814540565095e-07,2.1956134918328418e-07,3.744303183503248e-07,3.369535860421703e-07,6.608226717653846e-07,5.946809274696152e-07,inf,inf,4.678109134518694e-09,4.209877169449414e-09
658,HRV,2905.0,4.5584512477482286e-11,3.741927474680106e-11,1.2735013357921742e-09,1.0453878693550856e-09,4.4819559252871546e-09,3.6791342290699867e-09,5.655460584333731e-09,4.6424371332132825e-09,1.7940664053450397e-08,1.4727077265282546e-08,inf,inf,6.796755644470531e-10,5.579299920624287e-10
659,HRV,2907.0,6.42927354751785e-11,4.652810820242777e-11,2.414897925239049e-09,1.7476411780102258e-09,6.111778539527321e-09,4.423042371656275e-09,1.6501801449573143e-08,1.1942213964082182e-08,inf,inf,inf,inf,3.3003604210591635e-10,2.388442887724626e-10
660,HRV,2908.0,7.213683738804163e-12,6.4916660997787095e-12,2.2843332350134775e-08,2.055694310878273e-08,3.8608449346342615e-09,3.474412947139046e-09,9.137332940053914e-08,8.222777243513096e-08,inf,inf,inf,inf,2.7411998207455818e-09,2.46683311791591e-09
661,HRV,2913.0,3.699796201231725e-11,3.329483582213095e-11,1.749917257625119e-09,1.5747680311565586e-09,5.857618911499704e-09,5.271329807357059e-09,7.0870562078206144e-09,6.377712718961262e-09,3.3663750748436246e-09,3.0294345779185887e-09,inf,inf,1.666084888042859e-10,1.4993264438363618e-10
662,HRV,2918.0,1.8456453959217645e-11,1.4325557910136533e-11,4.841050341856447e-10,3.757533661200134e-10,2.6506611030322915e-09,2.0573940809833155e-09,3.330870086282238e-09,2.585359702227455e-09,5.933318171574845e-11,4.605331731326999e-11,inf,inf,3.2404803921123055e-11,2.5152008948437546e-11
663,HRV,2919.0,6.796453502176768e-11,5.275281397180734e-11,6.184802537205808e-09,4.800529240626507e-09,1.6759157223823234e-08,1.3008147603297233e-08,5.117546143107068e-08,3.972144583833361e-08,4.378505495358374e-10,3.39851491365605e-10,inf,inf,9.76039239973422e-10,7.575835903094359e-10
664,HRV,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,HUN,960.0,7.711585581179884e-10,7.223635321628534e-10,1.4933546228896298e-08,1.3988626707261796e-08,1.5680224365546083e-06,1.4688058815615044e-06,1.2713694983502994e-07,1.1909236457853355e-07,1.022623305330376e-09,9.579168578681316e-10,1.0453482953633241e-07,9.79203925094136e-08,9.408134409039458e-09,8.812835092386813e-09
666,HUN,976.0,9.862575335762454e-08,8.723020393690303e-08,1.5600956670970773e-06,1.3798369956018812e-06,1.74397980738973e-05,1.5424745472799606e-05,9.76506519610512e-06,8.636776901715317e-06,4.2223256848435974e-08,3.7344640526231996e-08,2.911375319169309e-06,2.5749852769907574e-06,7.542144519562013e-07,6.670699915238e-07
667,HUN,1016.0,6.573233805646863e-08,5.813740385965771e-08,1.1187301098072063e-06,9.89468291055566e-07,2.6887188191488823e-05,2.3780552537114227e-05,3.029822358986999e-05,2.6797465496530242e-05,inf,inf,9.000889278014253e-05,7.960896425172594e-05,2.3888002276714826e-05,2.1127902594438812e-05
668,HUN,1049.0,8.444284291140535e-10,7.468603440182806e-10,1.7079590619521955e-08,1.510615759250409e-08,6.040146881192289e-08,5.342248107801348e-08,1.0520747394698868e-07,9.305145051520925e-08,8.556874748355744e-08,7.568184819385244e-08,4.425969824781145e-07,3.9145784674950855e-07,8.556874748355744e-08,7.568184819385244e-08
669,HUN,1052.0,5.045460105985523e-09,4.4624907695734315e-09,5.744432890536066e-08,5.0807019007127957e-08,4.122861686605313e-07,3.646492457422862e-07,5.593029585206547e-07,4.946792239686168e-07,4.509379969724561e-09,3.988351125306255e-09,8.106750637671119e-07,7.170069553998512e-07,1.535108074799851e-08,1.3577365532957467e-08
670,HUN,1053.0,1.5410821432723156e-09,1.36302035791518e-09,1.4148297278432198e-08,1.2513555688466236e-08,2.0920824380627469e-07,1.8503562356912384e-07,1.717497566036041e-07,1.519052152668564e-07,4.110699942436941e-08,3.6357359218536106e-08,3.854707653455518e-07,3.4093218381694745e-07,6.66041170968621e-08,5.8908454633847426e-08
671,HUN,2511.0,2.3089862161334136e-11,1.895393521006783e-11,6.4674780931233e-10,5.309003574515454e-10,2.1727820079703706e-09,1.7835866284916768e-09,2.53194892204679e-09,2.0784184629754862e-09,inf,inf,inf,inf,1.8866106887919357e-10,1.548675193993347e-10
672,HUN,2514.0,3.0348549607700884e-11,2.4912424291001285e-11,1.1759257449145225e-09,9.65290317682554e-10,4.0875352217283115e-09,3.355363372036351e-09,5.012316930138508e-09,4.114495343556528e-09,2.0140401103292403e-09,1.6532790665846307e-09,inf,inf,1.16602322176956e-09,9.57161564864786e-10
673,HUN,2555.0,1.833410584723442e-11,1.649904510756615e-11,2.081168802500853e-10,1.8728646073623798e-10,7.5918692837868e-10,6.831999051802071e-10,2.7223369026073053e-09,2.449858189341976e-09,2.9945706217149557e-10,2.694844034235805e-10,inf,inf,1.633402157299067e-11,1.469914927764985e-11
674,HUN,2731.0,1.2285166787603564e-08,1.0865697526240297e-08,2.0728124049913633e-07,1.8333127266942276e-07,1.7636475135782705e-06,1.5598697809120581e-06,9.986777264010175e-07,8.832871615724774e-07,inf,inf,1.3382515678080634e-06,1.1836255055561812e-06,5.167724492697609e-07,4.570628320101873e-07
