,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low
1557,BFA,2731.0,2.8951725368361535e-08,2.4490507378305308e-08
1558,BFA,2735.0,3.37900623886271e-08,2.8583297254760522e-08
1559,BFA,2805.0,9.375865818411797e-10,8.438951719112407e-10
1560,BFA,2903.0,1.8218876761215314e-11,1.5547190371651962e-11
1561,BFA,2905.0,4.041214590046506e-12,3.6373829865402242e-12
1562,BFA,2907.0,1.0828209931478844e-10,8.168136970248304e-11
1564,BFA,2913.0,5.469771543777127e-12,4.667663138354473e-12
1565,BFA,2918.0,1.1550177901405929e-09,7.946215980767101e-10
1566,BFA,2919.0,6.781349651059774e-10,4.665388657075264e-10
1568,BWA,960.0,1.711303429047156e-09,1.4809223165050483e-09
1569,BWA,976.0,1.0898074564173476e-08,9.21877270274468e-09
1570,BWA,1016.0,1.4547983767911161e-08,1.230626151893681e-08
1571,BWA,1049.0,3.5237236727659754e-10,2.980747416915279e-10
1572,BWA,1052.0,7.070623666871224e-10,5.981099878488164e-10
1573,BWA,1053.0,7.090258197464096e-11,5.997708892639693e-11
1574,BWA,2514.0,4.046245184185733e-10,3.6419108820841236e-10
1575,BWA,2731.0,1.6473857273543358e-08,1.3935374074380935e-08
1576,BWA,2735.0,3.92771467341594e-09,3.32248679362956e-09
1577,BWA,2903.0,2.5580766868471534e-10,2.1829504506206694e-10
1578,BWA,2905.0,2.6720624309993054e-11,2.4050478411685472e-11
1579,BWA,2907.0,2.862857024422661e-11,2.159563625908399e-11
1580,BWA,2913.0,1.447245706452239e-10,1.235016011561624e-10
1581,BWA,2918.0,7.634807687094104e-10,5.252545144424657e-10
1582,BWA,2919.0,1.237714461191638e-09,8.515147138946118e-10
1584,CAF,960.0,1.1738721208176367e-08,1.0158417209564568e-08
1585,CAF,976.0,1.740751858354468e-08,1.472516600942096e-08
1586,CAF,1016.0,5.3131170067407486e-08,4.49441025016008e-08
1587,CAF,1049.0,2.4684721509914203e-09,2.088101301660621e-09
1588,CAF,1052.0,9.308767631630712e-10,7.87436463508715e-10
1589,CAF,1053.0,2.8020663957135874e-09,2.3702914719451357e-09
1590,CAF,2514.0,5.3659193611192754e-11,4.8297122947528086e-11
1591,CAF,2731.0,2.027006482701662e-08,1.7146617891977867e-08
1592,CAF,2735.0,2.5930794066419462e-12,2.193507624602413e-12
1593,CAF,2805.0,3.4551747796685086e-10,3.109905123584262e-10
1594,CAF,2903.0,9.453512976416498e-14,8.067213355222523e-14
