,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW,ProteinI-BaU,ProteinI-HalfW,IronI-BaU,IronI-HalfW,ZincI-BaU,ZincI-HalfW,Vitamin AI-BaU,Vitamin AI-HalfW,Vitamin BI-BaU,Vitamin BI-HalfW,FolateI-BaU,FolateI-HalfW
1474,TUN,1049.0,1.0688152564932224e-07,9.36341269702846e-08,2.161808674295352e-06,1.8938639457540086e-06,7.645172658210341e-06,6.697594023286239e-06,1.3316386489927953e-05,1.1665890955507738e-05,1.0830661265797986e-05,9.488258199655509e-06,5.602066333162007e-05,4.907719899660456e-05,1.0830661265797986e-05,9.488258199655509e-06
1475,TUN,1052.0,1.1493973295380642e-09,1.0069356218434146e-09,1.3086290814706769e-08,1.1464314419824087e-08,9.392218178511039e-08,8.228102509920474e-08,1.2741381626697253e-07,1.1162154897800967e-07,1.0272738632746448e-09,8.999487120225518e-10,1.8467845029863997e-07,1.6178853509888975e-07,3.4971025132753863e-09,3.063655189864006e-09
1476,TUN,1053.0,1.1702822018493367e-09,1.025231924912366e-09,9.131376121022552e-09,7.999590443109215e-09,2.020048475974163e-07,1.769674172747871e-07,1.0898994434882158e-07,9.548121834567514e-08,4.661478164293437e-08,4.083712649618495e-08,2.392841403572724e-07,2.0962613926095584e-07,7.381745679496954e-08,6.466817422536957e-08
1477,TUN,2731.0,1.7839811631084598e-09,1.562866152258679e-09,3.0419094208599306e-08,2.6648808689297543e-08,2.0639908018441966e-07,1.8081700802013633e-07,1.4405343712562168e-07,1.2619877701391984e-07,inf,inf,1.9408411469943091e-07,1.7002841724309755e-07,7.731585911386403e-08,6.773296811683458e-08
1478,TUN,2735.0,1.2836776247438066e-07,1.1245725860850596e-07,1.6452065593645864e-06,1.4412919252043407e-06,6.610353770711879e-06,5.791035452807093e-06,9.540727558061491e-06,8.358204938910206e-06,1.251096642020783e-06,1.09602984350564e-06,1.0645898206083753e-05,9.326395542029694e-06,6.820926240779536e-06,5.975508581151574e-06
1479,BWA,960.0,1.8602623294098862e-09,1.6098278957523512e-09,3.602412655824592e-08,3.117444402154501e-08,3.7825334876796463e-06,3.2733167945274455e-06,3.0669189359887065e-07,2.6540405506850885e-07,2.466869610739197e-09,2.134771774802031e-09,2.5216890022242343e-07,2.1822112053842638e-07,2.269520041880061e-08,1.9639900328178687e-08
1480,BWA,976.0,9.196366879090055e-09,7.77928389553191e-09,1.2772563073790545e-07,1.0804418258967477e-07,8.481288208913736e-07,7.174392849309161e-07,6.260987639671643e-07,5.296221970674709e-07,1.6428146376596641e-09,1.3896706843164176e-09,1.2066714745536217e-07,1.0207335236414082e-07,3.9213572357408866e-08,3.317108983764792e-08
1481,BWA,1016.0,1.226654675955089e-08,1.037637481355086e-08,1.2902933939458627e-07,1.0914700067976667e-07,1.09945365249972e-06,9.300370684668782e-07,7.865213965613545e-07,6.653250478374152e-07,2.654074855374307e-08,2.2451041864037134e-08,2.4551159215289234e-06,2.076803155106804e-06,4.94551219177637e-07,4.1834502531775185e-07
1482,BWA,1049.0,4.842829210562792e-10,4.096589857914663e-10,9.7952102872064e-09,8.285850558427581e-09,3.464047247084914e-08,2.9302666277789587e-08,6.033688711008381e-08,5.103947900004235e-08,4.907400266703629e-08,4.151211056020192e-08,2.538310555816752e-07,2.1471781942085513e-07,4.907400266703629e-08,4.151211056020192e-08
1483,BWA,1052.0,6.335928550291715e-10,5.359615115681655e-10,7.2136763727860246e-09,6.102109362555786e-09,5.177358758238373e-08,4.3795712088141525e-08,7.023548910732001e-08,5.941278947338428e-08,5.66273614182322e-10,4.790156009640479e-10,1.0180199969152901e-07,8.611516560239888e-08,1.9277399631738623e-09,1.6306914075371845e-09
1484,BWA,1053.0,6.133622173024443e-11,5.188482453910943e-11,5.029288669055024e-10,4.2543174781465504e-10,1.0696438760892495e-08,9.04820728513472e-09,5.96672077327599e-09,5.047299159651879e-09,inf,inf,1.5662642268004114e-08,1.3249160495543192e-08,8.771079707424954e-09,7.419529909092649e-09
1485,BWA,2731.0,1.7194420008284078e-08,1.4544904136827029e-08,2.9229998517175334e-07,2.472590096944707e-07,2.1063114513778514e-06,1.7817465275264718e-06,1.3910794146510013e-06,1.1767257472519677e-06,inf,inf,1.871313602164363e-06,1.5829598753728105e-06,7.38783901161536e-07,6.24943499987121e-07
1486,BWA,2735.0,5.051389900238885e-09,4.2730130950222716e-09,3.2256048821353605e-08,2.7285662308665485e-08,2.066200170018854e-07,1.7478160581130907e-07,2.877191663363236e-07,2.433840566110054e-07,inf,inf,1.7648662000377497e-07,1.4929151248781775e-07,1.1909432884993349e-07,1.0074289191071719e-07
1487,NAM,960.0,6.720924584639537e-09,5.816132332816035e-09,1.3015123404788027e-07,1.1262986081287542e-07,1.3665880294223287e-05,1.1826136007727343e-05,1.1080443091336346e-06,9.58875858728383e-07,8.912530427456777e-09,7.712697223951698e-09,9.110586900526172e-07,7.884090704452148e-07,8.199527993260234e-08,7.095681446035562e-08
1488,NAM,976.0,1.3762856125487255e-08,1.1642115459417098e-08,1.855660658224902e-07,1.5697189187747458e-07,1.1404951988042214e-06,9.647544568020775e-07,9.033625915207559e-07,7.641619948875651e-07,1.9720709864634073e-09,1.6681913920509523e-09,1.482980813955412e-07,1.254465911926258e-07,4.991192110836846e-08,4.222091279940418e-08
1489,NAM,1016.0,4.3429611225278475e-08,3.673747248624881e-08,2.97150663248895e-07,2.513622389744721e-07,1.7916247686009167e-06,1.5155504225155776e-06,1.4896253620504207e-06,1.2600865909039655e-06,inf,inf,4.334313530677195e-06,3.666432178129828e-06,1.1722493985627842e-06,9.91615600778288e-07
1490,NAM,1049.0,1.283911297522642e-09,1.0860713378909512e-09,2.5968665427895205e-08,2.1967111948416564e-08,9.183741986985486e-08,7.768604393384687e-08,1.5996271528432097e-07,1.353138028590702e-07,1.301030114822944e-07,1.1005522890628307e-07,6.729466304791237e-07,5.692512003780233e-07,1.301030114822944e-07,1.1005522890628307e-07
1491,NAM,1052.0,1.3308726707256184e-09,1.1257963574636944e-09,1.5152451079262892e-08,1.2817585488760779e-08,1.0875130966500767e-07,9.199364520989044e-08,1.475308508074564e-07,1.2479758440151808e-07,1.1894674494610216e-09,1.0061804944831767e-09,2.1383684828395963e-07,1.8088638393809972e-07,4.049250891782201e-09,3.425295300368261e-09
1492,NAM,1053.0,6.8645434890589e-10,5.80677492717626e-10,5.628610601349765e-09,4.7612889286592835e-09,1.197109423777825e-07,1.0126449046697635e-07,6.67775306006951e-08,5.648767336224165e-08,inf,inf,1.7529102049217124e-07,1.482801448305234e-07,9.816297189354226e-08,8.303688145862053e-08
1493,NAM,2731.0,2.531424273190862e-08,2.1413530299631498e-08,4.292048052579382e-07,3.6306794556225443e-07,3.268358747012142e-06,2.7647320838474603e-06,2.051418544945684e-06,1.7353121574539117e-06,inf,inf,2.7558955978160635e-06,2.3312352066557706e-06,1.0795851911851362e-06,9.132301703553018e-07
1494,NAM,2735.0,6.243474781389153e-09,5.281407696930207e-09,4.886583331454869e-08,4.133601835850516e-08,3.2523574138657305e-07,2.75119642189644e-07,4.587157965646328e-07,3.880315406897324e-07,4.201924651354118e-08,3.55444331443984e-08,3.231604956064464e-07,2.73364174374053e-07,8.477880585150061e-08,7.171510311779361e-08
1495,SWZ,960.0,1.0027920196874457e-08,8.677929673729338e-09,1.9419146459993674e-07,1.6804879176860572e-07,2.0390104856065758e-05,1.7645124064315578e-05,1.6532516868270908e-06,1.4306856845282399e-06,1.329789417411613e-08,1.1507689349945427e-08,1.3593403293643145e-06,1.176341609156832e-06,1.223406264018684e-07,1.0587074201949794e-07
1496,SWZ,976.0,6.880129912744407e-09,5.819959613733436e-09,8.829646713838059e-08,7.469072231162782e-08,4.848791010177496e-07,4.101632994224993e-07,4.251509906442314e-07,3.596387897712231e-07,7.340922645109835e-10,6.209748051841423e-10,5.659717589231268e-08,4.787602590678934e-08,1.9816685387045333e-08,1.6763100420099574e-08
1497,SWZ,1016.0,1.3829192803651421e-08,1.169823021200477e-08,8.998067820565485e-08,7.611541058304872e-08,5.634563873604589e-07,4.7663248516043504e-07,4.53686566108024e-07,3.8377727245398247e-07,inf,inf,1.3718063478591358e-06,1.1604224983621947e-06,3.582638760195317e-07,3.0305841836372563e-07
1498,SWZ,1049.0,1.587889798196106e-09,1.3432093018247035e-09,3.211699981555425e-08,2.716803958811438e-08,1.1358082321214497e-07,9.607897123640231e-08,1.9783544562761523e-07,1.673506631880443e-07,1.609061662172054e-07,1.3611187591823662e-07,8.322732974856472e-07,7.04026964662806e-07,1.609061662172054e-07,1.3611187591823662e-07
1499,SWZ,1052.0,1.1763461452748286e-09,9.950810731914802e-10,1.3393112512287168e-08,1.1329346235063598e-08,9.612428501388598e-08,8.131233912364666e-08,1.3040116569667456e-07,1.1030744005757872e-07,1.051359367339378e-09,8.893537091648854e-10,1.8900842862706488e-07,1.5988381545341348e-07,3.579095718602138e-09,3.027587095029397e-09
1500,SWZ,1053.0,1.2534456643193911e-09,1.0603002031742506e-09,1.0277679157614683e-08,8.69397502355701e-09,2.185886970257818e-07,1.849060126542301e-07,1.2193382755722318e-07,1.0314484768906127e-07,inf,inf,3.2007630220455626e-07,2.7075522930069117e-07,1.792427299976729e-07,1.5162292905391784e-07
1501,SWZ,2731.0,1.3128087757960855e-08,1.1105159571965619e-08,2.2324527405185665e-07,1.88845050226732e-07,1.5981980407928822e-06,1.351929130717858e-06,1.061884955674282e-06,8.982573926413342e-07,inf,inf,1.428708339902406e-06,1.2085563708083204e-06,5.645835322082114e-07,4.775859464432803e-07
1502,BEN,960.0,1.756649947677912e-08,1.5201641425168678e-08,3.401766462354772e-07,2.9438098376537493e-07,3.571854973448934e-05,3.091000492206877e-05,2.8960985250644653e-06,2.5062165269857234e-06,2.329470582790274e-08,2.0158698411636722e-08,2.3812366588223986e-06,2.060667003334121e-06,2.1431129361670523e-07,1.8546002538705788e-07
