,ISO3,Supply-BaU2,Vitamin B12 (ug/day),VB122030,BaU_needed2030
99,MUS,2465213293.5834846,1029285937.5568438,1053840576.3181934,-1411372717.2652912
100,MWI,3275985640.7222843,12585540649.91699,19964154642.010685,16688169001.2884
101,MYS,57734600325.01943,24274521918.986557,29778953135.58491,-27955647189.43452
102,NAM,15111893956.68237,1807424883.524663,2514446757.9922957,-12597447198.690073
103,NER,10333436740.80666,13668887241.093046,25157763287.48359,14824326546.67693
104,NGA,75145198245.60678,130229870426.48546,197493000678.8786,122347802433.27182
105,NIC,2571227373.0570297,4706949214.050571,5611589404.091254,3040362031.0342245
106,NLD,45811009037.73646,13580535902.379065,13990836402.285505,-31820172635.45095
107,NOR,19392306220.7334,4097448244.576422,4729746589.933336,-14662559630.800062
108,NPL,10364354657.73365,22244565931.84209,26640221136.581684,16275866478.848034
109,NZL,79316013550.19482,3636281972.6547103,4134976277.1027656,-75181037273.09206
110,OMN,11970785157.670702,3169673723.471619,4826306774.917479,-7144478382.753223
111,PAK,177298328078.65308,142209122596.12402,190946963497.9248,13648635419.271729
112,PAN,6264507157.64973,3061237511.0976386,3863417210.259147,-2401089947.3905826
113,PER,293954166383.07983,24374520851.400803,29331693493.833916,-264622472889.2459
114,PHL,121152883842.27742,78076141754.7601,99031093674.88779,-22121790167.389633
115,PNG,16700695234.77617,5936625602.061923,8145343840.294189,-8555351394.481981
116,POL,57944075388.56528,30987468609.722034,29473320234.687595,-28470755153.87768
117,PRT,28702777226.00254,8369268683.025833,7819778320.358271,-20882998905.64427
118,PRY,4343000236.590019,5133005711.7811165,6216413884.020891,1873413647.430872
119,QAT,2081565669.1448762,1975794396.9095132,2716860567.2086673,635294898.063791
120,ROU,50229910175.70552,16137906718.903536,14868773709.901197,-35361136465.80432
121,RUS,360704100195.01324,115892550644.70921,112886490629.97812,-247817609565.03513
122,RWA,3396031672.165061,8500423966.166953,12316599113.66837,8920567441.503307
123,SAU,40464723686.414986,24448320610.661743,32033206311.085087,-8431517375.329899
124,SEN,31249512258.71942,10766010235.105143,16713931647.84313,-14535580610.876291
125,SGP,7466278414.328319,4486973203.061803,5197259612.364813,-2269018801.9635057
