,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW,ProteinI-BaU,ProteinI-HalfW,IronI-BaU,IronI-HalfW,ZincI-BaU,ZincI-HalfW,Vitamin AI-BaU,Vitamin AI-HalfW,Vitamin BI-BaU,Vitamin BI-HalfW,FolateI-BaU,FolateI-HalfW
50,BGD,2905.0,5.876465780538624e-12,5.2644834072717695e-12,2.0059560385587206e-10,1.7970533097771326e-10,7.324373247822056e-10,6.561604010274729e-10,1.3018004198878986e-09,1.1662293232057425e-09,1.0885821998609736e-07,9.752159108283317e-08,inf,inf,2.667715287901379e-11,2.389896137061277e-11
51,BGD,2907.0,7.179207948757186e-11,5.485367784928935e-11,2.722373271876891e-09,2.0800649250855324e-09,6.89235462056369e-09,5.26619374557761e-09,1.8484947293241982e-08,1.412366588517776e-08,2.888790380948648e-10,2.2072180951119345e-10,inf,inf,3.723876536391748e-10,2.845276600646758e-10
52,BGD,2908.0,5.821213249697572e-11,4.9698990485714496e-11,1.843384236940413e-07,1.5738014005581614e-07,3.1155790165326065e-08,2.6599460500470436e-08,7.373536947761654e-07,6.295205602232649e-07,inf,inf,inf,inf,2.2120610348850776e-08,1.8885616384571508e-08
53,BGD,2913.0,5.998285136408001e-11,5.121075334947257e-11,5.596372124485143e-09,4.777939461052295e-09,1.358887711202892e-08,1.1601593092940809e-08,2.260581081382669e-08,1.9299859468584197e-08,inf,inf,inf,inf,7.200366749311315e-10,6.147360407837136e-10
54,BGD,2918.0,2.9931959219083954e-10,2.0797761865906636e-10,7.429121890075466e-09,5.162011173798212e-09,2.3595341703770678e-08,1.639486056719066e-08,3.961526381273367e-08,2.7526057248768312e-08,6.373651797391474e-10,4.428634000471304e-10,inf,inf,3.816937392179913e-10,2.6521402878639227e-10
55,BGD,2919.0,2.2337284399610523e-10,1.5520718783350949e-10,1.6265443121255856e-08,1.1301793183776807e-08,5.45876341668182e-08,3.79293786923534e-08,1.4724705546675603e-07,1.0231235358295605e-07,8.609918254048903e-10,5.982469380703371e-10,inf,inf,7.075289488454141e-10,4.916156167264917e-10
56,BGD,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,IND,946.0,4.570506455019753e-09,4.0835519338434874e-09,1.0641307606145244e-07,9.507552977191892e-08,2.8169884127487015e-06,2.516858600617586e-06,1.6866160736061953e-06,1.5069192871310194e-06,8.585074563058495e-09,7.67039674468998e-09,1.1295793334038935e-06,1.0092307967938693e-06,7.331373203801773e-08,6.55026822929707e-08
58,IND,960.0,4.301331866342237e-09,3.822491708801797e-09,8.329563044545593e-08,7.402285307223499e-08,8.746041657051813e-06,7.772399981623666e-06,7.09138487744434e-07,6.301945708970478e-07,5.703940083627749e-09,5.0689563964545566e-09,5.830694462169022e-07,5.18160000919685e-07,5.247624876937529e-08,4.663439884738192e-08
59,IND,976.0,2.4375219678006787e-08,2.177821570400873e-08,3.713953420034045e-07,3.318258451189325e-07,3.4376934967682545e-06,3.0714320316234008e-06,2.1263069975787706e-06,1.8997643121959453e-06,7.785361359981436e-09,6.955887219523719e-09,5.486369240687688e-07,4.901836140715572e-07,1.5572322931377606e-07,1.3913204159469344e-07
60,IND,1016.0,1.1119320786236641e-08,9.934637298191166e-09,1.5270621200357527e-07,1.3643646573395297e-07,1.917878708926155e-06,1.7135425554669308e-06,1.7337975988007905e-06,1.5490739608736784e-06,inf,inf,5.165138410246606e-06,4.6148301400092105e-06,1.3673203139564826e-06,1.2216421893700942e-06
61,IND,1049.0,3.689798962521848e-09,3.2966774770334877e-09,7.463066563773652e-08,6.667930610934638e-08,2.639291493192098e-07,2.3580940071016003e-07,4.5971264684494797e-07,4.107335776704165e-07,3.7389962820221393e-07,3.340633176727267e-07,1.9339636497985215e-06,1.727913761820435e-06,3.7389962820221393e-07,3.340633176727267e-07
62,IND,1052.0,1.2618119268281864e-09,1.1273749604459862e-09,1.4366170343005227e-08,1.2835558436127494e-08,1.031080603065318e-07,9.212263962501486e-08,1.3987527974592957e-07,1.2497257683031123e-07,1.1277444096026916e-09,1.0075913708986001e-09,2.0274057127714358e-07,1.8114002464607282e-07,3.83912990503044e-09,3.430098283910128e-09
63,IND,1053.0,1.694976561896277e-09,1.5143890256514284e-09,1.3985802873563149e-08,1.2495716379082499e-08,2.82219572625378e-07,2.521511112400046e-07,1.6697775318397273e-07,1.491874770627155e-07,7.080628746268702e-07,6.32623878649098e-07,4.346258065516557e-07,3.8831955939872505e-07,1.9281634346598803e-07,1.7227315178001704e-07
64,IND,2511.0,1.2482119850139534e-10,1.118221653842663e-10,3.496245933494669e-09,3.132142582294938e-09,1.1745815216311344e-08,1.0522591574673242e-08,1.3687431167234629e-08,1.2262005252666774e-08,inf,inf,inf,inf,1.0198805243406692e-09,9.136689122860785e-10
65,IND,2514.0,1.4454456051682588e-10,1.294915122236061e-10,5.600718063836579e-09,5.017452396901802e-09,1.946817854095549e-08,1.744073848572135e-08,2.3872743745687128e-08,2.1386606853294987e-08,9.592502652480263e-09,8.593527629384766e-09,inf,inf,5.5535541672254165e-09,4.975200206485918e-09
66,IND,2555.0,4.210275529192881e-10,3.594550388245345e-10,4.77923175217772e-09,4.0803005008078864e-09,1.743409890435435e-08,1.4884476455479918e-08,6.251621180094373e-08,5.337362646282424e-08,6.876783364348372e-09,5.871098967467397e-09,inf,inf,3.7509727441900213e-10,3.20241761861858e-10
67,IND,2731.0,5.632187596804466e-08,5.032118601963726e-08,9.56855331272894e-07,8.549092921937446e-07,6.9845762640781704e-06,6.240420003986291e-06,4.558416499928281e-06,4.072750076329506e-06,inf,inf,6.130123076186651e-06,5.477002644852932e-06,2.4156491960672967e-06,2.158279184849208e-06
