,ISO3,Supply-BaU2,Supply-HalfW2,Protein (g/year),Pr2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
58,GMB,57548633642.23954,64047778128.00256,27132739146.641747,43708496213.597374,-30415894495.597794,-30415894495.597794,-30415894495.597794,-36915038981.36082,-36915038981.36082,-36915038981.36082,-13840137428.642166,-13840137428.642166,-13840137428.642166,-20339281914.40519,-20339281914.40519,-20339281914.40519
59,GRC,514245788278.9413,603846839461.7474,209924607822.59418,201245093992.04623,-304321180456.3471,-304321180456.3471,-304321180456.3471,-393922231639.15326,-393922231639.15326,-393922231639.15326,-313000694286.895,-313000694286.895,-313000694286.895,-402601745469.7012,-402601745469.7012,-402601745469.7012
60,GRD,3647897945.919837,4029132202.6251907,1826272687.508881,1968572096.1159894,-1821625258.410956,-1821625258.410956,-1821625258.410956,-2202859515.1163096,-2202859515.1163096,-2202859515.1163096,-1679325849.8038476,-1679325849.8038476,-1679325849.8038476,-2060560106.5092013,-2060560106.5092013,-2060560106.5092013
61,GTM,334746767650.41516,384617134870.9679,258574882656.80054,358366731108.3781,-76171884993.61462,-76171884993.61462,-76171884993.61462,-126042252214.16736,-126042252214.16736,-126042252214.16736,23619963457.96295,23619963457.96295,23619963457.96295,-26250403762.589783,-26250403762.589783,-26250403762.589783
62,GUY,23603862045.307117,29287431872.392906,13056130797.251434,14470782744.76409,-10547731248.055683,-10547731248.055683,-10547731248.055683,-16231301075.141472,-16231301075.141472,-16231301075.141472,-9133079300.543028,-9133079300.543028,-9133079300.543028,-14816649127.628817,-14816649127.628817,-14816649127.628817
63,HND,143183434150.15955,163972405909.2598,146408039515.4598,193140588890.71167,3224605365.3002625,3224605365.3002625,3224605365.3002625,-17564366393.799988,-17564366393.799988,-17564366393.799988,49957154740.552124,49957154740.552124,49957154740.552124,29168182981.451874,29168182981.451874,29168182981.451874
64,HRV,159378345316.405,191123172921.4505,80200159887.50919,73235120029.84937,-79178185428.89581,-79178185428.89581,-79178185428.89581,-110923013033.94131,-110923013033.94131,-110923013033.94131,-86143225286.55563,-86143225286.55563,-86143225286.55563,-117888052891.60114,-117888052891.60114,-117888052891.60114
65,HUN,517307185885.4402,656506852585.9608,187102321423.40005,175763382378.87943,-330204864462.04016,-330204864462.04016,-330204864462.04016,-469404531162.5608,-469404531162.5608,-469404531162.5608,-341543803506.5608,-341543803506.5608,-341543803506.5608,-480743470207.0814,-480743470207.0814,-480743470207.0814
66,IDN,7238582994661.904,8241537965407.27,3915253247001.6294,4633342116496.363,-3323329747660.275,-3323329747660.275,-3323329747660.275,-4326284718405.64,-4326284718405.64,-4326284718405.64,-2605240878165.541,-2605240878165.541,-2605240878165.541,-3608195848910.9062,-3608195848910.9062,-3608195848910.9062
67,IND,29127737338164.5,33468491362331.223,19770548461385.785,23616606438081.48,-9357188876778.715,-9357188876778.715,-9357188876778.715,-13697942900945.438,-13697942900945.438,-13697942900945.438,-5511130900083.02,-5511130900083.02,-5511130900083.02,-9851884924249.742,-9851884924249.742,-9851884924249.742
68,IRL,276756300997.3484,330177206258.5473,86025941952.23279,97382462034.98097,-190730359045.1156,-190730359045.1156,-190730359045.1156,-244151264306.3145,-244151264306.3145,-244151264306.3145,-179373838962.36743,-179373838962.36743,-179373838962.36743,-232794744223.56635,-232794744223.56635,-232794744223.56635
