,ISO3,Supply-BaU2,Supply-HalfW2,Folate (ug DFE/day),Ft2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
30,CMR,5386398232236.201,6601446147659.158,2766555437876.446,4170671970861.4897,-2619842794359.7554,-2619842794359.7554,-2619842794359.7554,-3834890709782.7124,-3834890709782.7124,-3834890709782.7124,-1215726261374.7114,-1215726261374.7114,-1215726261374.7114,-2430774176797.6685,-2430774176797.6685,-2430774176797.6685
31,COD,8007940619554.638,10353288164868.355,9022314596040.506,14947409426167.098,1014373976485.8682,1014373976485.8682,1014373976485.8682,-1330973568827.8496,-1330973568827.8496,-1330973568827.8496,6939468806612.46,6939468806612.46,6939468806612.46,4594121261298.742,4594121261298.742,4594121261298.742
32,COG,474418975488.5791,578828934041.688,606447685758.0944,925965645297.882,132028710269.51526,132028710269.51526,132028710269.51526,27618751716.406372,27618751716.406372,27618751716.406372,451546669809.30286,451546669809.30286,451546669809.30286,347136711256.194,347136711256.194,347136711256.194
33,COL,5006854034536.79,6033569603652.228,6412939746142.029,7197996360998.442,1406085711605.2393,1406085711605.2393,1406085711605.2393,379370142489.80176,379370142489.80176,379370142489.80176,2191142326461.6523,2191142326461.6523,2191142326461.6523,1164426757346.2148,1164426757346.2148,1164426757346.2148
34,COM,35694517905.27649,44712915589.27478,95847702520.61177,136272339006.94681,60153184615.33528,60153184615.33528,60153184615.33528,51134786931.33699,51134786931.33699,51134786931.33699,100577821101.67032,100577821101.67032,100577821101.67032,91559423417.67203,91559423417.67203,91559423417.67203
35,CPR,272957835851036.0,324845332862815.25,190123572205781.38,198236706389529.6,-82834263645254.62,-82834263645254.62,-82834263645254.62,-134721760657033.88,-134721760657033.88,-134721760657033.88,-74721129461506.4,-74721129461506.4,-74721129461506.4,-126608626473285.66,-126608626473285.66,-126608626473285.66
36,CPV,47599933410.26197,52659951494.25568,68654072411.51694,83911528158.41837,21054139001.254967,21054139001.254967,21054139001.254967,15994120917.261261,15994120917.261261,15994120917.261261,36311594748.156395,36311594748.156395,36311594748.156395,31251576664.16269,31251576664.16269,31251576664.16269
37,CRI,703999167764.523,877502787558.8806,638968933069.293,730932050367.6758,-65030234695.22998,-65030234695.22998,-65030234695.22998,-238533854489.58765,-238533854489.58765,-238533854489.58765,26932882603.152832,26932882603.152832,26932882603.152832,-146570737191.20483,-146570737191.20483,-146570737191.20483
38,CUB,1140828429391.008,1416448636909.476,1545647530680.4197,1536658646123.8267,404819101289.4116,404819101289.4116,404819101289.4116,129198893770.9436,129198893770.9436,129198893770.9436,395830216732.8186,395830216732.8186,395830216732.8186,120210009214.35059,120210009214.35059,120210009214.35059
39,CYP,126465142575.44646,148013109583.21075,156305306449.9658,173814694915.88513,29840163874.519333,29840163874.519333,29840163874.519333,8292196866.755035,8292196866.755035,8292196866.755035,47349552340.438675,47349552340.438675,47349552340.438675,25801585332.674377,25801585332.674377,25801585332.674377
40,CZE,1184530013168.0728,1538444131791.1567,1432309546634.8035,1421599936118.045,247779533466.7307,247779533466.7307,247779533466.7307,-106134585156.35327,-106134585156.35327,-106134585156.35327,237069922949.97217,237069922949.97217,237069922949.97217,-116844195673.11182,-116844195673.11182,-116844195673.11182
41,DEU,10749283790617.217,13147220960420.008,10909640854860.613,10849233857232.941,160357064243.39648,160357064243.39648,160357064243.39648,-2237580105559.3945,-2237580105559.3945,-2237580105559.3945,99950066615.72461,99950066615.72461,99950066615.72461,-2297987103187.0664,-2297987103187.0664,-2297987103187.0664
42,DJI,15472229084.181608,19856835168.130444,119619749745.19225,150788135741.0639,104147520661.01064,104147520661.01064,104147520661.01064,99762914577.0618,99762914577.0618,99762914577.0618,135315906656.8823,135315906656.8823,135315906656.8823,130931300572.93346,130931300572.93346,130931300572.93346
43,DNK,939926264404.0101,1161046531646.506,761760061247.1615,804949964961.8761,-178166203156.84863,-178166203156.84863,-178166203156.84863,-399286470399.3446,-399286470399.3446,-399286470399.3446,-134976299442.13403,-134976299442.13403,-134976299442.13403,-356096566684.63,-356096566684.63,-356096566684.63
44,DZA,6446364815926.459,7447254851562.6455,5101902030362.511,6505537995032.906,-1344462785563.9482,-1344462785563.9482,-1344462785563.9482,-2345352821200.135,-2345352821200.135,-2345352821200.135,59173179106.447266,59173179106.447266,59173179106.447266,-941716856529.7393,-941716856529.7393,-941716856529.7393
45,ECU,736461369847.754,1118003355927.216,2085841933587.4192,2591561593476.9604,1349380563739.665,1349380563739.665,1349380563739.665,967838577660.2031,967838577660.2031,967838577660.2031,1855100223629.2065,1855100223629.2065,1855100223629.2065,1473558237549.7444,1473558237549.7444,1473558237549.7444
46,EGY,12889069191031.814,15093687903586.604,11861358850197.623,15758965422414.764,-1027710340834.1914,-1027710340834.1914,-1027710340834.1914,-3232329053388.9805,-3232329053388.9805,-3232329053388.9805,2869896231382.949,2869896231382.949,2869896231382.949,665277518828.1602,665277518828.1602,665277518828.1602
47,ESP,8722172474573.236,10296652604530.29,6156780662059.861,6038643736882.437,-2565391812513.375,-2565391812513.375,-2565391812513.375,-4139871942470.4277,-4139871942470.4277,-4139871942470.4277,-2683528737690.8,-2683528737690.8,-2683528737690.8,-4258008867647.8525,-4258008867647.8525,-4258008867647.8525
48,EST,165870156896.45642,229794166936.774,175408033248.29675,166158829024.3258,9537876351.840332,9537876351.840332,9537876351.840332,-54386133688.477234,-54386133688.477234,-54386133688.477234,288672127.86938477,288672127.86938477,288672127.86938477,-63635337912.44818,-63635337912.44818,-63635337912.44818
49,ETH,16638840479805.805,19419533126113.523,12262735303154.959,17922191145626.07,-4376105176650.8457,-4376105176650.8457,-4376105176650.8457,-7156797822958.564,-7156797822958.564,-7156797822958.564,1283350665820.2656,1283350665820.2656,1283350665820.2656,-1497341980487.4531,-1497341980487.4531,-1497341980487.4531
50,FIN,588007357251.269,728427840384.9222,728021635346.8632,758300820959.7457,140014278095.59412,140014278095.59412,140014278095.59412,-406205038.05908203,-406205038.05908203,-406205038.05908203,170293463708.47668,170293463708.47668,170293463708.47668,29872980574.823486,29872980574.823486,29872980574.823486
51,FJI,60220150085.737045,74724404988.91614,117488205099.22176,130568760280.45934,57268055013.48471,57268055013.48471,57268055013.48471,42763800110.30562,42763800110.30562,42763800110.30562,70348610194.72229,70348610194.72229,70348610194.72229,55844355291.5432,55844355291.5432,55844355291.5432
52,FRA,8848787416473.492,11734693556136.402,8413527276788.945,8802160224705.787,-435260139684.5469,-435260139684.5469,-435260139684.5469,-3321166279347.457,-3321166279347.457,-3321166279347.457,-46627191767.70508,-46627191767.70508,-46627191767.70508,-2932533331430.615,-2932533331430.615,-2932533331430.615
53,GAB,128832305948.7195,168928526519.42624,238918215749.78152,336439364708.6688,110085909801.06203,110085909801.06203,110085909801.06203,69989689230.35529,69989689230.35529,69989689230.35529,207607058759.94934,207607058759.94934,207607058759.94934,167510838189.24258,167510838189.24258,167510838189.24258
54,GBR,6797020488907.687,8244235031072.894,8604546936433.942,9296373793848.146,1807526447526.2559,1807526447526.2559,1807526447526.2559,360311905361.0488,360311905361.0488,360311905361.0488,2499353304940.46,2499353304940.46,2499353304940.46,1052138762775.2529,1052138762775.2529,1052138762775.2529
