,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low
919,BDI,2919.0,7.439434951334076e-13,5.118133885277424e-13
920,BEN,2514.0,4.280885745778856e-11,3.8531042170763265e-11
921,BEN,2555.0,2.8486081949367473e-11,2.430877297288178e-11
922,BEN,2805.0,7.933869098815218e-11,7.141051244481326e-11
923,BEN,2903.0,2.6375483636167997e-12,2.250768094050937e-12
924,BEN,2905.0,3.30050034068649e-12,2.9706870344999666e-12
925,BEN,2907.0,3.071472099972813e-14,2.3169300347548535e-14
927,BEN,2913.0,2.5942955421576333e-13,2.2138580332304872e-13
928,BEN,2918.0,1.2351781518161344e-11,8.497698003301771e-12
929,BEN,2919.0,4.8552725801474024e-12,3.3402987293080038e-12
930,BFA,2514.0,4.158470476771631e-11,3.7429216947533776e-11
931,BFA,2555.0,2.5144202998614075e-11,2.1456960046796993e-11
932,BFA,2805.0,9.375865818411797e-10,8.438951719112408e-10
933,BFA,2903.0,1.8218876761215314e-11,1.5547190371651962e-11
934,BFA,2905.0,4.041214590046506e-12,3.637382986540225e-12
935,BFA,2907.0,1.0828209931478844e-10,8.168136970248302e-11
937,BFA,2913.0,5.469771543777127e-12,4.667663138354473e-12
938,BFA,2918.0,1.1550177901405927e-09,7.946215980767101e-10
939,BFA,2919.0,6.781349651059772e-10,4.665388657075262e-10
940,BWA,2514.0,4.046245184185733e-10,3.641910882084124e-10
941,BWA,2903.0,2.558076686847153e-10,2.1829504506206694e-10
942,BWA,2905.0,2.6720624309993054e-11,2.4050478411685476e-11
943,BWA,2907.0,2.862857024422661e-11,2.159563625908399e-11
944,BWA,2913.0,1.447245706452239e-10,1.235016011561624e-10
945,BWA,2918.0,7.634807687094103e-10,5.252545144424657e-10
946,BWA,2919.0,1.237714461191638e-09,8.515147138946117e-10
947,CAF,2514.0,5.3659193611192754e-11,4.829712294752809e-11
948,CAF,2805.0,3.4551747796685086e-10,3.109905123584262e-10
949,CAF,2903.0,9.453512976416498e-14,8.067213355222524e-14
950,CAF,2905.0,2.4108472740568627e-12,2.16993546430317e-12
951,CAF,2907.0,2.6517699414663717e-14,2.0003324863989283e-14
953,CAF,2913.0,1.1081079596850784e-14,9.456107326134378e-15
954,CAF,2918.0,1.3898426299539653e-12,9.561748581852807e-13
955,CAF,2919.0,1.1620224777109887e-13,7.994406372973428e-14
956,CIV,2514.0,2.9779090011912226e-11,2.6803316911397407e-11
957,CIV,2555.0,7.245354706344364e-10,6.182867934508505e-10
958,CIV,2805.0,1.0832162844345634e-10,9.749723495134306e-11
959,CIV,2903.0,1.0407151908284985e-12,8.881006994309043e-13
960,CIV,2905.0,8.635408051065018e-12,7.772486619280197e-12
961,CIV,2907.0,1.3592838286912694e-13,1.0253602917243655e-13
963,CIV,2913.0,6.611039664554787e-13,5.641571298082546e-13
964,CIV,2918.0,4.953678294781449e-11,3.4079992503647995e-11
965,CIV,2919.0,3.584245592589308e-12,2.4658658810233894e-12
966,CMR,2511.0,1.3114398691505823e-09,1.1803899450595549e-09
967,CMR,2514.0,3.0347093942134205e-11,2.731456118859221e-11
968,CMR,2555.0,4.003881421601846e-11,3.416736800134762e-11
969,CMR,2805.0,4.748997741577614e-10,4.27443858855651e-10
970,CMR,2903.0,3.0394450466506265e-12,2.5937290966833276e-12
971,CMR,2905.0,2.4365096225961864e-12,2.1930334186165858e-12
972,CMR,2907.0,2.510318748583972e-13,1.8936303883254884e-13
974,CMR,2913.0,3.1812770333096057e-13,2.714762293530621e-13
975,CMR,2918.0,1.4366151486203423e-11,9.883531101966417e-12
976,CMR,2919.0,1.2841997617254619e-12,8.834953674504042e-13
977,COG,2514.0,6.320141639257385e-11,5.6885807865240595e-11
978,COG,2805.0,9.624891793909214e-10,8.663092958410088e-10
979,COG,2903.0,2.2979530532322277e-12,1.9609723503798007e-12
981,COG,2907.0,2.3060796894884177e-14,1.7395649777060172e-14
983,COG,2913.0,7.271366423122823e-14,6.205065192766988e-14
984,COG,2918.0,7.428267829185299e-13,5.110451201492354e-13
985,COG,2919.0,3.6223927764329777e-13,2.492110131498781e-13
986,CPV,2514.0,3.851320171261179e-10,3.466464389485287e-10
987,CPV,2903.0,4.297620036263868e-11,3.667400450891635e-11
988,CPV,2907.0,2.719636631104338e-11,2.0515269516141528e-11
990,CPV,2913.0,3.202494745676077e-11,2.7328685586827477e-11
991,CPV,2918.0,1.6145976052660432e-10,1.1108003186610329e-10
992,CPV,2919.0,1.1415332696248197e-10,7.85344605693556e-11
993,ETH,2511.0,1.394665073482024e-11,1.2552985982729035e-11
994,ETH,2514.0,1.9448079753994332e-11,1.750466668914068e-11
995,ETH,2555.0,1.9250361993709163e-11,1.642741462945411e-11
996,ETH,2805.0,7.030304766814107e-10,6.327778537666814e-10
997,ETH,2903.0,1.1712435722607948e-11,9.994878953392507e-12
998,ETH,2905.0,1.4189785781947994e-12,1.2771824963968084e-12
999,ETH,2907.0,5.378827330998443e-12,4.057457202707746e-12
1001,ETH,2913.0,9.805045869768853e-12,8.367196108631418e-12
1002,ETH,2918.0,2.96156360420999e-10,2.0374771921882774e-10
1003,ETH,2919.0,2.169847287419489e-10,1.4927973697286622e-10
1004,GHA,2514.0,3.1406300850313346e-11,2.8267923377406918e-11
1005,GHA,2805.0,2.070146520989061e-10,1.863280349832745e-10
1006,GHA,2903.0,2.5740782958719868e-12,2.1966055219525884e-12
1007,GHA,2905.0,2.991947389927889e-12,2.6929672479040253e-12
1008,GHA,2907.0,5.3959281386932665e-14,4.070357002437998e-14
1010,GHA,2913.0,4.1238887988390984e-13,3.519145832500694e-13
1011,GHA,2918.0,4.988480376445621e-11,3.431942159283123e-11
1012,GHA,2919.0,1.7770786942442586e-12,1.2225829974069573e-12
1013,GIN,2514.0,4.309877878814827e-11,3.8791992162650083e-11
1014,GIN,2805.0,6.39484966637267e-10,5.755823369349634e-10
1015,GIN,2903.0,1.1710345494351151e-12,9.993095244272865e-13
1016,GIN,2905.0,4.567250364129915e-12,4.110852913050731e-12
1017,GIN,2907.0,1.8967092922421052e-13,1.4307610759131598e-13
1019,GIN,2913.0,5.0226809043578946e-14,4.286135595491247e-14
1020,GIN,2918.0,4.1217636454450755e-12,2.835664041537731e-12
1021,GIN,2919.0,5.088502766970912e-13,3.5007549104641993e-13
1022,GMB,2514.0,6.600743750652046e-11,5.941142812922775e-11
1023,GMB,2805.0,2.2375385605787893e-09,2.013945191631937e-09
1024,GMB,2903.0,6.135033898561919e-13,5.235368854381429e-13
1025,GMB,2905.0,1.8919194467244076e-12,1.702863199684915e-12
1026,GMB,2907.0,1.8433037256052292e-13,1.3904751943109226e-13
1027,GMB,2913.0,1.1761430405514385e-14,1.0036688866941442e-14
1028,GMB,2918.0,6.7122139934125335e-12,4.617825158718197e-12
1029,GMB,2919.0,1.6845887341608575e-12,1.1589523585415793e-12
1030,KEN,2511.0,5.77463568193786e-11,5.1975862986051325e-11
1031,KEN,2514.0,3.845669551006605e-11,3.4613784259662965e-11
1032,KEN,2555.0,2.4462551394921478e-11,2.0875268464563368e-11
1033,KEN,2805.0,3.517927367563351e-10,3.166386953609389e-10
1034,KEN,2903.0,1.9177499289550947e-11,1.636523679338945e-11
1035,KEN,2905.0,1.9341081876443766e-11,1.7408360924938767e-11
1036,KEN,2907.0,8.487609396589782e-12,6.402531585554839e-12
1038,KEN,2913.0,3.4826573504977754e-11,2.9719470380681197e-11
1039,KEN,2918.0,1.8899299744154012e-10,1.3002216843259532e-10
